ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
mirna_pre::mirbase_pre::hsa-mir-1267::MI0006404	1	0.9983787249307391	1	NA
mirna_pre::mirbase_pre::hsa-mir-1268a::MI0006405	1	0.9999506351405387	1	NA
mirna_pre::mirbase_pre::hsa-mir-1268b::MI0016748	1	0.9913302806514284	1	NA
mirna_pre::mirbase_pre::hsa-mir-1269a::MI0006406	0.696891835437324	0.045685171203658045	0.699132477843767	0.52087
mirna_pre::mirbase_pre::hsa-mir-1269b::MI0016888	0.179933327907381	0.9999642390748784	0.477528716464009	0.60409
mirna_pre::mirbase_pre::hsa-mir-126::MI0000471	1	0.9908921255407785	1	NA
mirna_pre::mirbase_pre::hsa-mir-1270-1::MI0006407	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1270-2::MI0015976	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1271::MI0003814	0.137955368790834	0.9976885651846811	0.400915249639143	0.44732
mirna_pre::mirbase_pre::hsa-mir-1272::MI0006408	1	0.9922075677915639	1	NA
mirna_pre::mirbase_pre::hsa-mir-1273a::MI0006409	1	0.9997442438001454	1	NA
mirna_pre::mirbase_pre::hsa-mir-1273c::MI0014171	1	0.9999286814012741	1	NA
mirna_pre::mirbase_pre::hsa-mir-1273d::MI0014254	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-1273f::MI0018002	1	0.9999012305714481	1	NA
mirna_pre::mirbase_pre::hsa-mir-1273g::MI0018003	1	0.9931810569927704	1	NA
mirna_pre::mirbase_pre::hsa-mir-1273h::MI0025512	1	0.9999766821446753	1	NA
mirna_pre::mirbase_pre::hsa-mir-1275::MI0006415	0.249440921128833	0.9978384238619575	0.540511080050246	0.19538
mirna_pre::mirbase_pre::hsa-mir-1276::MI0006416	1	0.9999850152311172	1	NA
mirna_pre::mirbase_pre::hsa-mir-1277::MI0006419	1	0.9999779510846222	1	NA
mirna_pre::mirbase_pre::hsa-mir-1278::MI0006425	1	0.999999551828113	1	NA
