Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
ZL208122	69	268	222	136	119	0	0
ZL208124	0	40	115	128	0	38	0
ZL208125	38	240	146	80	78	0	0
ZL208131	39	193	445	152	236	0	0
ZL208137	0	222	225	0	331	0	0
ZL208146	0	426	193	0	0	0	0
ZL208150	39	252	108	0	199	155	0
ZL208180	79	514	187	0	270	0	0
ZL208202	47	489	0	0	89	149	0
ZL208213	0	236	0	0	113	51	0
ZL208214	0	392	386	0	138	0	0
ZL208215	77	242	376	120	0	0	0
ZL208231	0	157	141	77	68	70	0
ZL208250	36	297	176	91	136	0	0
ZL208275	75	150	201	454	163	0	0
ZL208283	36	241	234	61	0	0	0
ZL208289	0	112	0	56	106	199	0
ZL208320	55	88	434	534	0	0	0
ZL208379	17	76	209	57	100	54	0
ZL208386	0	101	561	142	0	174	0
ZL208387	58	196	0	0	124	138	0
ZL208401	0	583	0	0	127	0	0
ZL208439	110	423	111	0	94	0	0
ZL208444	42	276	119	64	78	105	0
ZL208449	0	220	177	95	0	0	0
ZL208452	0	701	389	0	210	0	0
ZL208465	0	506	333	0	0	0	0
ZL208480	0	11	62	19	31	42	0
ZL208501	78	498	255	104	331	0	0
ZL208523	0	204	240	319	108	0	0
ZL208526	54	215	272	272	0	0	0
ZL208528	39	232	0	461	0	504	0
ZL208535	0	10	0	24	38	14	0
ZL208564	0	653	244	0	185	0	0
ZL208566	92	395	171	77	129	0	0
ZL208592	39	423	233	146	0	0	0
ZL208611	62	230	247	119	163	0	0
ZL208626	0	227	290	0	137	0	0
ZL208634	38	201	0	79	112	195	0
ZL208658	0	408	122	67	0	0	0
ZL208685	0	350	0	646	438	392	0
ZL208701	76	194	287	49	0	110	0
ZL208705	0	225	278	0	146	0	0
ZL208723	22	115	204	0	140	0	0
ZL208735	33	173	164	224	0	0	0
ZL208740	0	129	125	0	100	0	0
ZL208773	155	386	210	95	0	0	0
ZL208788	0	0	0	0	4	0	0
ZL208801	54	289	328	0	470	0	0
ZL208818	28	136	197	36	0	128	0
