ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00166.5p-miR::TJU_CMC_MD2.ID00166.5p-miR	1	0.990792555890733	1	NA	0.999795146188189	0.999999868998875	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00168.3p-miR::TJU_CMC_MD2.ID00168.3p-miR	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00169.3p-miR::TJU_CMC_MD2.ID00169.3p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00170.3p-miR::TJU_CMC_MD2.ID00170.3p-miR	1	0.997059198868501	1	NA	0.999964281490322	0.999999995751803	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00171.3p-miR::TJU_CMC_MD2.ID00171.3p-miR	1	0.998377304401244	1	NA	0.999985608602902	0.999999999287001	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00172.3p-miR::TJU_CMC_MD2.ID00172.3p-miR	1	0.999950919563071	1	NA	0.999999931369278	0.99999999999998	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00173.3p-miR::TJU_CMC_MD2.ID00173.3p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00174.5p-miR::TJU_CMC_MD2.ID00174.5p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00175.3p-miR::TJU_CMC_MD2.ID00175.3p-miR	1	0.997366461372606	1	NA	0.999969827609611	0.999999996949813	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00176.5p-miR::TJU_CMC_MD2.ID00176.5p-miR	1	0.998644606630765	1	NA	0.99998907007827	0.999999999584581	1.96357211035013	3.05565554143572
