MutationType	ZL-201155	ZL-201204T	ZL-201948	ZL-201999	ZL-202025	ZL-202046	ZL-202056	ZL-202079	ZL009041	ZL026642	ZL033326	ZL040761	ZL054594	ZL093073	ZL094531	ZL094587	ZL098594	ZL098834	ZL099873	ZL117411	ZL119464	ZL122906	ZL130896	ZL135285	ZL143005	ZL144459	ZL145150	ZL154137T	ZL160571	ZL160658	ZL163085	ZL163503	ZL165633	ZL166217	ZL169282	ZL170022	ZL171919	ZL173347	ZL173419	ZL173520	ZL176154	ZL183080	ZL183247	ZL185536	ZL187056T	ZL187784	ZL193447	ZL200007	ZL200095	ZL200191	ZL200205	ZL200206	ZL200236	ZL200258	ZL200312	ZL200387	ZL200509	ZL200531	ZL200638	ZL200746T	ZL200881T	ZL200942T	ZL200989T	ZL200995T	ZL201029T	ZL201057T	ZL201059T	ZL201074T	ZL201109T	ZL201144T	ZL201217T	ZL201238T	ZL201286T	ZL201292T	ZL201309T	ZL201325T	ZL201360T	ZL201378T	ZL201381T	ZL201403T	ZL201425T	ZL201450T	ZL201482T	ZL201509T	ZL201537T	ZL201557T	ZL201573T	ZL201645K	ZL201703T	ZL201949T	ZL202004T	ZL202165T	ZL202470	ZL202543T	ZL202690T	ZL202883	ZL203330	ZL203405T	ZL203684T	ZL203719T	ZL1056056	ZL1095842	ZL1132727	ZL1134324	ZL1135196	ZL1135526	ZL1135687	ZL1135777	ZL1135893	ZL1135916	ZL1136162	ZL1136289	ZL1136315	ZL1136555	ZL1136727	ZL1136761	ZL1137133	ZL1137172	ZL1137270	ZL1137379	ZL1137449	ZL1137632	ZL1137732	ZL1137748	ZL1137810	ZL1137816	ZL1138220	ZL1138247	ZL1138279	ZL1138297	ZL1138367	ZL1138649	ZL1138854	ZL1138867	ZL1139109	ZL1139195	ZL1139220	ZL1139421	ZL1139424	ZL1139564	ZL1139784	ZL1139936	ZL1139961	ZL1139972	ZL1140305	ZL1140523	ZL1140557	ZL1140665	ZL1141052	ZL1141078	ZL1141129	ZL1141141	ZL1141184	ZL1141410	ZL1141532	ZL203817T	ZL203846T	ZL204186T	ZL204195T	ZL204255T	ZL204283	ZL204310T	ZL204311T	ZL204365	ZL204405T	ZL204460T	ZL204484T	ZL204527	ZL204697T	ZL205085	ZL205563	ZL206293	ZL206427	ZL206489	ZL206535	ZL206558	ZL206640	ZL206724	ZL206733	ZL206735	ZL206748	ZL206763	ZL206773	ZL206777	ZL206783	ZL206797	ZL206838	ZL206853	ZL206871	ZL206878	ZL206884	ZL206888	ZL206915	ZL206918	ZL206920	ZL206924	ZL206939	ZL206956	ZL206962	ZL206990	ZL206993	ZL207022	ZL207039	ZL207045	ZL207048	ZL207056	ZL207061	ZL207066	ZL207079	ZL207103	ZL207105	ZL207125	ZL207165	ZL207195	ZL207197	ZL207206	ZL207219	ZL207264	ZL207278	ZL207281	ZL207288	ZL207295	ZL207350	ZL207353	ZL207357	ZL207365	ZL207366	ZL207393	ZL207402	ZL207405	ZL207445	ZL207452	ZL207455	ZL207484	ZL207492	ZL207513	ZL207523	ZL207525	ZL207527	ZL207551	ZL207587	ZL207640	ZL207656	ZL207657	ZL207667	ZL207675	ZL207686	ZL207714	ZL207732	ZL207783	ZL207806	ZL207826	ZL207852	ZL207866	ZL207878	ZL207879	ZL207887	ZL207888	ZL207891	ZL207904	ZL207916	ZL207917	ZL207920	ZL207931	ZL207958	ZL207961	ZL207966	ZL207975	ZL208000	ZL208008	ZL208010	ZL208013	ZL208016	ZL208039	ZL208043	ZL208069	ZL208079	ZL208105	ZL208108	ZL208122	ZL208124	ZL208125	ZL208131	ZL208137	ZL208146	ZL208150	ZL208180	ZL208202	ZL208213	ZL208214	ZL208215	ZL208231	ZL208250	ZL208275	ZL208283	ZL208289	ZL208320	ZL208379	ZL208386	ZL208387	ZL208401	ZL208439	ZL208444	ZL208449	ZL208452	ZL208465	ZL208480	ZL208501	ZL208523	ZL208526	ZL208528	ZL208535	ZL208564	ZL208566	ZL208592	ZL208611	ZL208626	ZL208634	ZL208658	ZL208685	ZL208701	ZL208705	ZL208723	ZL208735	ZL208740	ZL208773	ZL208788	ZL208801	ZL208818	ZL208837	ZL208845	ZL208850	ZL208856	ZL208921	ZL208964	ZL209052	ZL209059	ZL209069	ZL209078	ZL209088	ZL209090	ZL209137	ZL209139	ZL209162	ZL209192	ZL209237	ZL209265	ZL209270	ZL209281	ZL209283	ZL209318	ZL209319	ZL209342	ZL209356	ZL209364	ZL209372	ZL209387	ZL209390	ZL209397	ZL209398	ZL209404	ZL209456	ZL209483	ZL209518	ZL209519	ZL209543	ZL209566	ZL209579	ZL209581	ZL209590	ZL209640	ZL209645	ZL209672	ZL209700	ZL209753	ZL209773	ZL209937	ZL210018	ZL210024	ZL210047	ZL210086	ZL210088	ZL210124	ZL210126	ZL210128	ZL210133	ZL210141	ZL210168	ZL210182	ZL210192	ZL210193	ZL210198	ZL210222	ZL210245	ZL210261	ZL210323	ZL210353	ZL210362	ZL210390	ZL210396	ZL210399	ZL210424	ZL210445	ZL210460	ZL210522	ZL210798	ZL210842	ZL210860	ZL210905	ZL210917	ZL210961	ZL211081	ZL211093	ZL211372	ZL211383	ZL211402	ZL211456	ZL211498	ZL211549	ZL211583	ZL211599	ZL211606	ZL211643	ZL211653	ZL211683	ZL211693	ZL211703	ZL211704	ZL211707	ZL211709	ZL211710	ZL211720	ZL211733	ZL211761	ZL211768	ZL211789	ZL211817	ZL211826	ZL211827	ZL211828	ZL211891	ZL211921	ZL211953	ZL211974	ZL211976	ZL212037	ZL212061	ZL212063	ZL212068	ZL212097	ZL212098	ZL212237	ZL212250	ZL212278	ZL212293	ZL212299	ZL212357	ZL212392	ZL212423	ZL212425	ZL212433	ZL212462	ZL212505	ZL212534	ZL212590	ZL212614	ZL212645	ZL212991	ZL213246	ZL213328	ZL213518	ZL213692	ZL213785	ZL213801	ZL213836	ZL214548	ZL214774	ZL215712	ZL217568	ZL217739	ZL471600	ZL685304	ZL724573	ZL769907	ZL788093	ZL811557	ZL838091	ZL885253	ZL903239	ZL904678	ZL981061	ZL984521	ZL995439	ZL998638
1:Ins:T:2	0	7	4	3	2	6	4	8	7	9	17	0	11	12	10	10	848	15	6	11	3	9	9	7	17	12	9	4	7	9	12	11	5	13	18	2	12	1	20	5	8	12	0	21	3	10	6	3	6	5	12	6	4	7	3	5	7	4	5	8	10	11	9	10	10	6	11	8	14	5	1	8	6	4	11	3	0	0	15	12	5	5	5	6	9	8	2	15	16	11	5	16	4	12	4	3	4	2	6	16	8	7	7	11	11	6	16	7	3	14	2	19	0	10	25	25	8	0	16	1	13	3	14	19	3	11	19	5	7	3	3	5	11	8	16	2	7	8	5	10	14	6	16	9	8	13	6	6	28	11	5	15	7	17	7	13	17	9	3	10	6	6	5	3	16	6	8	16	18	4	11	11	5	8	2	13	7	8	0	7	11	1	11	8	5	11	6	14	0	7	27	13	3	15	9	7	17	6	8	2	18	7	15	5	6	5	6	6	6	3	5	2	5	5	11	11	3	3	23	13	5	8	8	7	4	6	10	5	1	8	10	12	9	9	11	8	5	6	12	6	11	5	10	3	15	5	12	3	6	7	3	13	2	9	14	3	10	11	9	6	9	4	10	0	8	7	9	9	10	15	0	18	7	2	4	5	5	7	10	5	1	3	14	12	8	6	16	2	4	15	15	5	10	10	11	4	9	9	28	6	5	5	11	10	19	10	1	12	6	9	11	2	16	8	11	8	10	8	5	16	8	12	6	4	6	6	0	13	7	7	12	4	5	12	10	7	5	5	11	13	2	11	4	12	12	4	7	6	11	8	10	3	12	6	11	2	2	4	15	12	0	0	6	7	9	6	13	11	4	8	6	11	4	5	12	6	290	4	10	6	19	7	6	4	8	6	12	13	1	11	5	2	5	8	6	17	15	7	11	5	1	8	4	12	8	4	8	15	12	0	7	6	0	1	6	9	17	11	13	20	14	14	12	6	9	8	4	6	0	14	11	17	4	8	9	0	3	2	8	5	9	6	3	14	8	8	4	9	5	8	2	27	10	12	10	6	6	9	7	5	253	11	17	8	11	12	7	2	6	7	10	0	6	7	4	8	6	4	7	8	10	19	13	13	10	14	8	8	11	12	11	5	5	8
1:Ins:T:3	1	6	5	7	5	5	6	8	6	11	4	0	7	11	7	11	441	10	6	6	13	6	3	9	14	1	11	3	10	6	6	5	3	12	11	4	9	1	13	7	3	8	0	9	0	12	10	7	4	2	8	3	1	6	3	5	4	4	4	0	7	9	12	7	3	3	9	3	7	2	5	3	6	4	9	2	3	0	3	6	8	1	5	6	6	5	4	5	6	9	9	12	2	11	3	5	2	0	5	7	4	7	6	4	11	3	6	7	9	2	4	7	0	5	15	6	4	0	7	0	8	4	9	6	2	13	13	4	6	6	9	5	7	7	14	2	2	8	3	10	4	6	11	14	3	9	5	11	10	2	5	11	7	7	5	7	7	7	2	16	3	4	4	4	7	1	7	10	13	1	7	10	7	5	1	7	5	1	0	5	6	0	6	8	4	8	14	11	2	2	15	7	3	10	11	2	9	3	9	11	9	3	8	1	4	10	4	5	8	2	2	4	2	5	6	7	0	0	18	12	4	3	10	1	4	2	2	8	0	7	10	5	10	5	10	8	4	4	5	7	9	4	6	4	11	4	25	0	3	6	6	6	0	10	10	5	2	5	10	2	7	5	8	0	16	8	7	10	11	6	8	5	5	6	0	9	8	7	8	6	1	6	7	8	4	7	8	3	0	10	17	3	6	9	9	1	11	5	14	6	4	6	2	3	20	5	0	12	5	5	6	1	7	7	6	6	10	11	7	11	4	4	4	2	4	6	0	11	4	3	11	8	4	3	4	6	1	11	12	5	2	10	8	4	8	6	5	5	4	5	9	6	7	4	12	0	2	3	6	10	0	0	6	4	6	7	6	8	6	7	10	5	7	3	7	5	154	4	8	8	8	8	12	6	8	6	3	10	1	6	3	0	3	4	4	18	7	4	7	4	7	2	0	6	13	3	11	9	4	0	5	10	0	3	3	5	10	10	5	19	17	7	7	5	7	5	8	6	0	7	9	9	3	7	2	0	6	12	3	4	8	17	4	11	7	7	0	5	5	5	5	23	3	5	8	4	7	4	6	2	123	7	4	5	6	8	5	2	7	7	2	0	6	9	0	4	2	4	2	5	10	14	9	8	6	9	7	8	7	11	11	9	5	9
1:Ins:T:4	0	3	8	3	5	7	2	1	5	5	5	0	5	8	8	7	310	2	5	6	5	4	5	5	10	5	8	3	7	6	6	8	5	12	7	1	11	4	8	9	2	5	0	6	1	5	2	3	8	4	2	5	1	5	1	5	4	2	5	0	2	6	4	3	4	3	13	3	4	3	0	1	2	4	5	1	2	0	5	9	5	2	3	1	1	4	1	8	3	3	8	8	2	4	9	7	7	8	5	5	4	3	6	6	7	7	8	1	2	7	1	4	0	4	10	9	4	0	7	0	4	2	7	7	1	9	10	4	3	0	5	3	1	4	2	10	1	6	0	7	6	2	9	8	6	5	4	6	3	6	5	14	4	8	6	9	4	8	0	2	10	4	15	5	9	5	2	4	17	5	5	7	1	8	2	4	0	5	0	8	9	0	6	4	7	5	7	12	1	1	12	7	4	14	14	1	10	8	2	2	10	4	8	0	5	2	3	8	10	1	9	5	5	2	3	6	0	5	9	12	6	2	6	2	2	0	6	8	0	2	11	8	3	8	6	6	6	6	9	7	1	4	6	5	5	3	21	0	5	9	10	9	1	8	8	1	3	6	5	5	4	6	10	0	4	5	3	2	4	13	3	8	2	8	0	10	3	10	3	5	0	3	8	4	2	8	3	5	4	5	8	5	6	7	6	0	6	4	8	5	3	3	4	3	8	8	0	7	8	8	5	0	22	3	6	3	7	4	2	12	8	8	4	5	0	4	0	8	5	3	9	7	12	0	4	9	5	8	9	6	7	7	5	8	13	10	6	3	5	5	8	4	9	5	8	0	0	4	7	8	0	0	4	2	7	6	5	7	6	3	3	3	5	2	5	6	122	2	7	5	7	3	11	5	3	6	5	3	7	5	2	0	5	4	6	13	13	4	3	7	11	4	1	10	10	2	7	12	1	0	6	2	0	4	8	11	9	2	5	9	5	2	3	3	3	6	3	8	0	7	10	4	5	8	4	0	3	4	6	6	7	6	1	5	7	4	1	8	1	8	2	8	7	2	4	5	9	5	6	8	110	5	6	8	10	9	7	3	1	3	5	0	6	1	5	4	3	2	3	4	7	5	2	3	10	9	3	5	3	15	9	4	9	2
1:Ins:T:5	5	151	329	200	92	222	221	187	195	214	189	1	298	287	190	270	11659	65	267	332	168	164	294	205	292	166	329	149	192	243	323	296	203	649	279	41	401	40	166	263	103	410	1	172	6	391	192	166	122	152	118	139	235	168	131	120	347	159	143	9	138	140	273	254	236	72	440	134	74	170	44	207	81	135	212	119	56	7	141	82	191	84	60	121	89	97	98	208	118	256	156	163	183	166	188	147	274	160	301	297	174	114	268	172	188	305	355	358	180	190	107	88	1	279	227	441	84	0	460	1	338	202	270	54	119	473	307	196	168	145	126	89	199	177	145	390	11	207	34	300	149	154	371	203	241	181	216	281	119	165	200	401	280	341	209	308	322	313	13	217	294	152	349	156	206	239	214	188	1217	136	220	389	151	331	47	130	138	123	1	330	193	2	140	299	437	285	283	577	9	213	290	112	419	216	375	19	180	426	250	124	309	301	291	0	206	254	108	180	445	180	252	164	169	106	172	165	4	136	346	254	184	138	340	183	297	172	302	432	1	153	767	214	192	244	176	321	223	173	361	313	129	176	184	171	220	247	487	32	182	208	312	209	13	200	170	73	150	293	231	164	274	164	376	0	333	129	175	219	215	476	201	498	178	341	6	191	312	444	116	221	42	192	187	174	309	215	432	389	176	311	204	127	234	167	190	97	125	78	112	155	399	365	220	165	533	346	16	412	178	190	224	10	492	329	339	201	172	172	299	320	176	171	98	155	98	321	0	260	121	101	353	253	319	42	118	214	115	517	236	291	275	293	302	374	262	458	181	116	337	95	167	183	169	197	202	0	1	113	165	272	0	1	370	213	738	252	160	265	271	177	122	272	179	155	246	155	8199	132	342	155	354	110	209	329	216	276	275	120	243	271	155	18	131	233	215	356	271	322	311	355	244	80	21	268	253	93	375	241	19	0	214	318	0	209	238	241	318	344	162	278	178	144	208	186	222	206	172	217	1	306	222	182	195	191	239	0	110	354	120	142	158	234	185	215	184	174	16	343	122	274	67	178	257	53	191	195	166	153	256	324	5678	266	236	532	366	162	163	116	176	125	238	23	228	164	245	133	156	121	363	171	176	504	157	183	403	170	201	247	309	482	159	200	223	278
2:Del:R:0	0	8	5	3	3	5	2	12	50	9	12	0	9	9	12	9	93	10	6	10	16	11	10	7	113	12	12	5	14	5	6	9	1	7	4	3	10	1	13	10	2	17	0	16	5	15	10	4	10	6	10	5	9	4	6	16	3	4	8	6	4	8	6	7	14	6	17	15	10	1	5	8	12	3	21	3	5	5	40	2	8	11	4	4	5	15	2	12	5	15	10	5	5	8	19	6	6	2	7	8	3	5	12	9	6	15	13	10	11	9	6	4	0	9	106	10	16	0	13	0	10	5	9	15	2	9	26	2	5	16	3	16	9	4	7	6	6	6	5	7	4	4	15	11	2	45	1	15	8	4	4	19	12	12	4	10	11	9	2	18	13	3	6	3	4	13	6	4	15	4	9	13	5	2	2	11	3	5	1	17	31	0	3	12	10	7	25	8	3	8	16	13	9	14	7	6	3	2	12	8	9	5	4	2	3	8	5	6	14	2	7	6	13	9	11	3	4	5	6	14	4	3	6	9	4	2	13	19	0	8	18	9	14	6	8	9	9	11	5	15	15	6	8	6	7	5	12	9	5	8	4	12	2	7	18	19	6	10	9	1	4	12	5	0	10	9	13	4	3	98	10	8	3	1	4	16	6	6	9	7	8	5	15	12	2	8	8	8	3	6	8	7	9	7	11	5	18	9	11	3	1	1	3	5	3	4	4	10	9	13	28	2	10	9	12	5	9	7	5	33	7	4	14	14	5	7	0	11	2	7	9	13	3	8	14	27	7	6	14	18	1	7	8	13	19	9	8	11	9	9	7	5	8	3	18	1	1	7	7	11	0	0	10	14	6	5	11	15	14	2	4	7	11	3	4	14	55	7	9	10	18	6	14	10	9	24	11	14	2	3	6	2	3	3	15	8	9	6	7	9	4	7	2	7	19	5	8	6	4	1	42	7	1	3	8	10	7	8	6	13	10	38	22	9	5	8	3	8	0	7	12	13	4	14	4	0	4	17	5	5	8	13	11	9	4	8	4	11	3	7	6	8	2	11	7	10	3	8	24	13	55	1	8	5	57	9	3	7	9	8	18	0	8	5	6	6	2	4	6	8	8	34	15	9	14	20	11	10	86	11	5	11	11	6
2:Del:R:1	0	3	3	0	1	2	8	0	88	7	31	0	11	10	7	16	87	9	11	21	24	6	23	16	236	7	32	2	16	16	5	11	7	12	4	15	14	2	19	13	4	24	0	9	3	9	11	7	11	3	13	6	4	9	4	37	7	8	5	0	0	1	2	0	2	1	3	1	2	2	0	4	6	3	1	1	2	0	2	2	2	2	0	1	1	0	2	5	1	0	4	2	8	8	34	2	9	7	9	5	8	9	47	12	10	28	11	20	4	6	8	15	0	15	290	26	59	0	25	0	31	7	14	7	4	17	35	10	6	46	8	26	19	6	20	10	12	11	7	10	12	9	34	8	3	60	6	44	6	10	16	22	18	17	9	7	9	9	4	19	22	9	11	8	8	15	15	12	32	11	10	10	7	4	6	11	3	4	0	30	83	1	10	20	7	9	51	14	4	21	18	13	26	8	6	3	8	2	21	24	14	5	6	1	10	6	11	7	21	5	15	8	17	26	11	6	1	5	12	15	5	5	6	13	3	4	5	36	0	6	32	7	27	9	14	6	9	18	8	19	8	15	19	6	7	11	13	8	14	8	8	10	2	9	28	48	11	6	9	7	7	7	5	0	12	5	28	8	14	153	32	18	6	2	4	22	11	9	12	11	11	12	18	8	4	6	5	6	6	11	19	11	9	37	9	7	29	12	12	4	8	3	12	6	9	2	6	11	23	19	30	5	12	9	14	11	4	10	6	62	6	7	6	18	4	7	0	8	7	6	19	8	5	7	8	53	10	9	23	39	6	5	9	7	14	11	5	7	11	17	13	10	22	7	41	2	1	5	15	11	0	0	15	26	8	5	3	25	27	8	5	10	11	3	13	21	113	7	25	6	18	6	9	19	13	62	3	11	2	11	6	3	6	7	21	8	9	10	7	8	5	3	2	10	39	10	10	9	6	0	56	10	0	7	18	8	8	17	9	16	24	85	36	13	24	8	7	10	0	16	23	8	11	17	8	1	7	18	6	15	8	10	10	9	8	13	3	9	4	10	2	12	7	6	13	7	4	6	36	11	91	8	8	6	85	20	6	7	9	6	60	0	9	11	3	10	7	3	12	14	24	66	33	4	17	24	62	19	161	20	7	26	14	12
2:Del:R:2	0	0	0	2	0	1	4	0	30	3	3	0	5	4	5	2	36	4	3	9	6	7	8	9	80	2	9	0	3	4	3	4	2	4	3	4	3	1	10	3	0	10	0	5	0	1	4	3	3	5	3	3	0	3	4	8	3	2	4	0	1	0	0	0	0	1	2	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	1	2	2	3	9	2	1	6	1	4	4	4	14	6	5	7	4	4	2	0	2	4	0	5	92	10	14	0	14	0	7	4	10	8	2	10	6	0	1	14	3	11	5	0	2	0	0	0	1	6	6	2	10	4	4	23	2	13	2	1	7	11	1	1	5	1	4	3	0	13	10	3	3	2	3	3	6	2	4	8	4	7	1	4	4	3	3	0	0	6	31	0	3	6	6	4	11	6	0	3	7	4	4	6	2	0	5	1	6	10	3	2	3	0	1	5	1	0	6	0	0	4	2	4	5	0	0	1	8	4	1	1	2	2	2	3	5	13	0	1	11	6	8	2	2	1	1	10	2	3	2	5	9	6	1	4	4	0	3	5	2	7	0	2	15	7	2	3	2	1	3	3	10	0	2	3	11	1	4	40	10	5	0	4	0	5	6	2	6	5	6	2	4	2	2	4	5	0	3	6	5	2	0	12	4	3	10	3	8	2	1	0	6	0	5	3	0	9	9	7	13	1	3	4	1	6	1	3	0	16	4	1	1	7	0	3	0	6	1	3	4	2	0	1	2	15	2	6	6	10	2	2	3	3	7	5	0	1	2	4	2	5	3	2	11	0	0	2	1	5	0	0	5	13	5	3	3	11	4	2	6	1	8	2	3	2	40	1	10	3	5	2	3	9	12	12	4	4	1	1	3	0	1	3	6	10	2	4	3	5	2	0	0	4	13	4	4	0	0	0	18	6	0	1	6	1	8	3	2	3	3	24	13	4	2	2	2	3	0	5	6	5	4	15	2	0	0	3	2	4	9	3	3	0	1	3	1	3	1	5	1	8	4	2	0	1	3	5	13	5	38	2	4	2	26	4	3	0	4	5	15	0	2	2	5	5	2	2	4	6	3	18	18	2	8	10	24	3	55	7	14	11	7	0
2:Del:R:3	0	0	0	0	0	0	0	0	4	1	6	0	0	2	1	0	143	0	2	0	5	1	0	1	13	1	4	0	3	0	1	3	0	2	3	0	1	0	3	1	0	0	0	1	0	1	6	1	1	2	2	2	0	1	1	6	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	0	4	1	2	2	2	1	1	1	1	6	1	0	1	0	0	3	36	1	1	0	4	0	3	0	7	1	0	4	2	0	2	5	1	4	2	0	1	0	0	2	0	1	0	0	3	2	2	8	0	3	0	4	1	4	1	1	1	2	1	1	0	2	0	1	1	1	4	0	4	2	1	0	1	1	1	0	0	2	1	1	0	0	5	0	0	3	0	2	2	2	0	2	4	4	1	1	0	0	2	1	2	0	2	0	1	0	0	0	3	2	2	0	1	2	2	0	1	1	0	0	1	1	1	0	2	0	0	0	0	2	0	1	3	1	1	1	0	0	1	0	1	2	0	0	0	0	2	0	3	0	0	2	3	1	0	2	1	0	0	2	1	0	1	3	0	0	1	0	0	1	4	7	4	1	0	1	0	2	1	0	0	1	0	0	2	1	0	1	3	0	2	0	1	0	3	3	0	0	5	1	1	2	0	0	0	2	4	0	0	2	0	1	1	0	0	2	1	1	0	1	1	1	2	1	0	0	0	1	0	2	1	1	4	3	0	0	2	9	0	2	2	1	1	4	1	3	2	1	1	0	3	2	2	1	2	1	5	0	0	0	1	6	0	0	1	4	3	0	0	1	3	0	1	2	1	0	0	0	39	0	7	0	0	0	4	0	1	2	1	4	0	1	2	0	1	0	1	2	2	0	1	0	0	0	0	2	5	0	2	3	0	0	4	2	0	1	2	1	0	0	0	1	2	4	1	1	1	1	1	1	0	1	2	2	2	4	0	0	0	3	2	0	2	2	2	0	0	0	0	0	1	1	0	0	0	0	0	1	3	1	2	1	54	1	4	1	8	4	0	0	0	1	2	0	2	0	0	2	0	2	0	0	1	1	1	0	1	4	1	2	11	4	5	2	3	0
2:Del:R:4	0	1	0	0	0	0	0	0	1	1	2	0	1	1	0	1	635	1	0	0	1	0	1	1	4	0	3	0	0	0	0	2	1	3	1	0	0	0	0	2	0	4	0	1	0	0	1	0	3	1	1	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	2	0	0	3	0	0	0	0	0	0	8	2	0	0	0	0	1	0	2	0	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	2	0	0	2	1	0	0	3	1	1	1	3	3	1	0	0	0	0	0	1	1	1	2	2	2	0	0	2	1	0	0	3	0	1	0	1	3	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	1	0	0	1	2	1	0	0	0	1	1	0	1	1	0	0	0	1	2	0	0	1	3	0	0	0	3	1	0	1	2	0	0	3	0	3	0	1	2	0	1	0	0	1	0	0	2	0	0	1	0	0	1	1	1	0	1	2	0	0	1	4	0	1	2	0	0	0	1	0	1	0	1	2	0	1	1	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	1	5	0	0	3	1	1	0	0	0	0	0	2	0	0	1	0	2	1	0	0	0	0	2	0	0	0	1	2	0	1	1	1	1	0	2	1	0	3	1	0	0	1	0	1	1	2	0	0	1	0	0	1	0	1	1	0	1	1	1	0	2	2	0	0	0	1	3	0	0	0	1	2	0	0	1	0	1	1	0	0	0	1	1	119	0	0	1	1	0	2	0	0	1	1	1	0	1	0	0	1	0	1	2	2	1	0	2	1	1	0	1	2	0	2	0	0	0	3	0	0	1	2	2	0	0	0	0	1	4	3	0	1	0	1	1	0	0	1	1	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	3	1	222	0	1	0	7	1	0	0	0	0	1	0	2	0	0	1	1	0	2	0	0	4	2	0	2	2	1	1	5	3	0	2	1	0
2:Del:R:5	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1660	2	1	0	1	0	2	3	4	0	0	0	2	0	0	1	0	4	1	0	1	0	0	0	0	3	0	2	0	0	0	0	1	0	0	2	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	2	1	0	1	2	3	1	1	1	0	1	0	2	7	1	0	0	0	0	0	0	1	1	2	0	2	1	0	1	0	1	1	1	0	1	0	0	0	1	1	3	1	1	0	0	1	0	0	2	0	0	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	1	0	1	3	2	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	1	0	0	0	2	0	1	0	1	0	1	9	1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	2	3	0	0	0	0	1	1	0	0	2	1	3	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	3	0	1	2	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	0	2	0	0	3	2	5	0	2	2	0	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	1	0	203	1	4	0	3	0	0	1	1	2	1	1	0	2	2	0	0	2	1	2	0	1	0	3	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	2	1	1	0	1	3	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	581	0	1	0	5	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	1	4	0	0	1	2	3	2	0	1	0	0	0	1
